No.	DRIVER GENES
888	PSG6
889	SHROOM3
890	SLC4A5
891	TMEM120B
892	PRDM7
893	SHFM1
894	MRPL4
895	IFNW1
896	ZNF106
897	ABCA10
898	FAM105B
899	GALK2
900	FARP1
901	CAGE1
902	EFCAB12
903	BMP6
904	ETAA1
905	DDN
906	TM9SF4
907	CCNF
908	RANBP3
909	TST
910	CDK2
911	GTF2IRD2P1
912	PCDH11Y
913	PTER
914	NLRP2
915	ADAM21P1
916	BMP5
917	C8G
918	CALHM2
919	CD1C
920	SNX18
921	CYFIP1
922	ARHGAP9
923	STAT4
924	HABP4
925	PIAS3
926	LRIT3
927	APC2
928	GTF2H2C
929	KRT73
930	KRTAP4-6
931	SIAE
932	YARS2
933	ZNF737
934	EIF4G3
935	LRRN4
936	GRAP2
937	ZNF714
938	KATNAL2
939	TMC1
940	SRGAP1
941	GCG
942	GPR6
943	ZNF395
944	HOOK2
945	POLR2L
946	POU6F2
947	COMMD4
948	ICK
949	CECR1
950	IFI35
951	SELM
952	MIR377
953	HRAS
954	SLC35D2
955	LGR6
956	KDM5A
957	LINC00521
958	MBNL2
959	GGT5
960	ITGB3BP
961	SESN2
962	ZNF226
963	KLRC4
964	SRFBP1
965	UCK2
966	CNPY4
967	C16orf82
968	TSC1
969	INSM1
970	H2AFZ
971	TEAD2
972	AKAP8L
973	BRI3BP
974	CCDC112
975	RAI1
976	ADAM12
977	PI4KB
978	FAM19A2
979	LGI4
980	SEC24C
981	TAS1R3
982	ACY1
983	ZFHX3
984	COQ5
985	PRDX1
986	FOXD2
987	SRP14
988	HNRNPDL
989	C7orf63
990	ANKRD20A5P
991	ADPRM
992	AGR3
993	IL1B
994	ATAD3C
995	EXTL3
996	KCNRG
997	C1QL2
998	GDPD3
999	WDR65
1000	ARHGEF1
