No.	DRIVER GENES
736	RIPPLY3
737	FRMD4A
738	DCLK1
739	C1QTNF3
740	RN7SL209P
741	FAM118B
742	KRT3
743	TLR3
744	HAMP
745	C22orf43
746	TUT1
747	ADAL
748	EMC8
749	STON1-GTF2A1L
750	MYF6
751	POTEB
752	IL18RAP
753	RAPGEF4
754	TSKS
755	C7orf49
756	MYO1D
757	GLB1L
758	RNF34
759	C12orf45
760	TDRD6
761	DDX17
762	BTBD3
763	NRXN2
764	KDM2B
765	CWF19L1
766	NR2C2AP
767	SUGT1
768	APLP2
769	ISG20L2
770	MEX3A
771	PNPLA2
772	IGF2R
773	POLR1D
774	HNRNPF
775	NICN1
776	SYT13
777	SMN2
778	ACTRT1
779	ZNF557
780	RTP2
781	PSRC1
782	TBC1D10B
783	MIR513A2
784	AUNIP
785	KANK1
786	FBXO36
787	SOX10
788	CDKN2D
789	PRPH2
790	PC
791	SRGN
792	RANBP9
793	LMF1
794	ATP5G2
795	PKN3
796	TMEM97
797	PRDX1
798	FZD1
799	ROS1
800	ELK1
801	HK3
802	ANAPC7
803	ASUN
804	C1QB
805	LMO7
806	KCNH8
807	SNX25
808	IDH3G
809	FAM155A
810	CLYBL
811	CLDN12
812	HOXC13
813	XXcos-LUCA11.5
814	VCX3A
815	PTPN5
816	C11orf48
817	SH2D4B
818	PSMA8
819	PAPSS1
820	CUL3
821	UPP1
822	VWC2L
823	RILP
824	EDN3
825	CYP4B1
826	TXNL1
827	C17orf85
828	BTBD16
829	TUBB4A
830	GTPBP8
831	U2AF2
832	OR52E8
833	NACC2
834	CNKSR2
835	SEL1L3
836	OTUD5
837	ZFR2
838	GLE1
839	FGF4
840	CCL2
841	GPR149
842	MYH6
843	MTCP1
844	SLC25A46
845	TCF12
846	ADCK4
847	OR6C3
848	MMP8
849	ZRANB1
850	OR5K1
851	CEP97
852	C1QL4
853	RND3
854	RIMS1
855	FAM222B
856	ZNF587
857	UGT2B11
858	MORN5
859	NEK11
860	SACM1L
861	MAGEB2
862	LRIG2
863	KDM5B
864	ZNF256
865	GPC2
866	LCE3D
867	TRAP1
868	FAM24A
869	OR56A1
870	SFTA2
871	ESRRG
872	CROT
873	TOPORS
874	UTP11L
875	SMC2
876	CLCN5
877	HERC3
878	JAG1
879	UHMK1
880	DNER
881	PLA2G4A
882	GRK5
883	OR4S1
884	IQCF1
885	C19orf70
886	OR9G4
887	TMEM245
888	ITGA4
889	CCDC37
890	ATN1
891	CDH13
892	LAMB3
893	RHBDL3
894	GALNT15
895	CPVL
896	RARRES3
897	STK32B
898	VIPR1
899	ZFP30
900	GIMAP7
901	SGK3
902	ARL5B
903	HIST1H2AH
904	SOX5
905	ACRV1
906	HTR2C
907	MRPL55
908	ZBTB6
909	ACOX3
910	PARD3
911	PCYOX1L
912	PARVG
913	GPR171
914	COL28A1
915	TUBA1B
916	CENPM
917	ARHGAP21
918	IL10RA
919	MYEF2
920	HS3ST3A1
921	DDX4
922	DNAAF3
923	AQP4
924	CLEC2L
925	RSL1D1
926	FNDC4
927	SPEN
928	FUK
929	DUS3L
930	RSBN1
931	AKR1C2
932	OR52L1
933	ZCCHC11
934	OSMR
935	C2orf71
936	SLC35B3
937	ZNF451
938	HOXC11
939	TXNRD2
940	CAPRIN1
941	MRPL14
942	AK5
943	GPHA2
944	ACSS1
945	BARD1
946	FBXO8
947	MS4A5
948	GGNBP1
949	MYH10
950	PLCG1
951	ISCA1
952	CXorf40B
953	MRPL11
954	CNPY2
955	MLLT3
956	MTM1
957	IGHV7-81
958	SLFNL1
959	GPX7
960	ZNF616
961	CX3CR1
962	TFAP2C
963	CD207
964	LONP1
965	C5orf42
966	DMRT1
967	SIPA1
968	KCNG3
969	GMNN
970	CCDC81
971	CUL5
972	KLHL2
973	NR0B2
974	B3GNT8
975	RAB19
976	GANC
977	USP43
978	RP11-813I20.2
979	RGS12
980	FIP1L1
981	CLASP2
982	MAGEB16
983	TRERF1
984	WNT1
985	TM4SF5
986	TCTN3
987	TFCP2L1
988	SLC28A1
989	TCERG1
990	GXYLT2
991	C1QA
992	CCDC36
993	THBS3
994	HTR2B
995	ZNF525
996	CDYL
997	GCAT
998	FAM208A
999	BMPER
1000	SNIP1
