No.	DRIVER GENES
930	HSD17B4
931	TPD52L2
932	NOL4
933	OAZ1
934	PNPO
935	ANP32B
936	FOXO4
937	PPIEL
938	PGLS
939	TRGJ2
940	TASP1
941	STAC2
942	KLHDC8A
943	CLIP2
944	CNKSR3
945	TAF6
946	CCNB2
947	DGKG
948	AQP10
949	TRMT5
950	ASAH2
951	RAB39B
952	AKR1C4
953	AREL1
954	QPCT
955	BAI1
956	NOBOX
957	DGCR8
958	CDX2
959	LARP6
960	ADARB2
961	LCP1
962	HLA-DMA
963	BHMT2
964	NAA16
965	PAK6
966	RNU1-61P
967	CDK19
968	RAC2
969	ZADH2
970	NOL3
971	TTLL1
972	KRTCAP3
973	GNAT3
974	FAM98C
975	NFIA
976	UBE2O
977	PARD3B
978	G3BP1
979	H1F0
980	CYGB
981	AMOT
982	SNORD116-16
983	ZZZ3
984	UGT1A4
985	FGD2
986	PTGR1
987	ESRRG
988	ASB3
989	TMC1
990	RWDD2A
991	ARHGAP35
992	REC8
993	LRRIQ4
994	TMEM31
995	CDPF1
996	TRBV7-6
997	LIG3
998	CR1
999	S1PR3
1000	IGHJ6
